Date,Time,Favorite,Score,Spread,Underdog,Over/Under
10-5 (66.7%),8-7-1  (53.3%),7-8-1 (46.7%),7-4 (63.6%),5-5-1 (50.0%),2-3-0 (40.0%),9-7-0 (56.3%)
9-6 (60.0%),6-10-0  (37.5%),9-7-0 (56.3%),8-3 (72.7%),5-6-0 (45.5%),4-1-0 (80.0%),8-8-0 (50.0%)
9-7 (56.3%),7-9-0  (43.8%),10-6-0 (62.5%),8-5 (61.5%),7-6-0 (53.8%),3-0-0 (100.%),8-8-0 (50.0%)
12-3 (80.0%),8-7-0  (53.3%),7-8-0 (46.7%),8-2 (80.0%),5-5-0 (50.0%),2-3-0 (40.0%),9-6-0 (60.0%)
11-4 (73.3%),8-7-0  (53.3%),11-4-0 (73.3%),10-2 (83.3%),8-4-0 (66.7%),3-0-0 (100.%),8-7-0 (53.3%)
10-5 (66.7%),5-9-1  (35.7%),6-7-1 (46.2%),6-2 (75.0%),2-5-1 (28.6%),4-2-0 (66.7%),9-6-0 (60.0%)
10-4 (71.4%),7-7-0  (50.0%),3-10-0 (23.1%),4-3 (57.1%),2-5-0 (28.6%),1-5-0 (16.7%),4-10-0 (28.6%)
11-3 (78.6%),8-6-0  (57.1%),5-9-0 (35.7%),6-1 (85.7%),3-4-0 (42.9%),2-5-0 (28.6%),5-8-1 (38.5%)
6-7 (46.2%),6-7-0  (46.2%),6-7-0 (46.2%),4-5 (44.4%),4-5-0 (44.4%),2-2-0 (50.0%),6-7-0 (46.2%)
8-6 (57.1%),5-8-1  (38.5%),5-8-1 (38.5%),6-4 (60.0%),3-6-1 (33.3%),2-2-0 (50.0%),8-6-0 (57.1%)
9-4 (69.2%),3-6-4  (33.3%),5-4-4 (55.6%),7-3 (70.0%),3-4-3 (42.9%),2-0-1 (100.%),7-6-0 (53.8%)
12-3 (80.0%),10-5-0  (66.7%),9-6-0 (60.0%),9-1 (90.0%),7-3-0 (70.0%),2-3-0 (40.0%),7-8-0 (46.7%)
9-7 (56.3%),7-9-0  (43.8%),10-6-0 (62.5%),6-3 (66.7%),5-4-0 (55.6%),5-2-0 (71.4%),5-11-0 (31.3%)
9-7 (56.3%),7-9-0  (43.8%),9-7-0 (56.3%),6-2 (75.0%),4-4-0 (50.0%),5-3-0 (62.5%),7-9-0 (43.8%)
10-6 (62.5%),6-9-1  (40.0%),8-7-1 (53.3%),7-4 (63.6%),5-6-0 (45.5%),3-1-1 (75.0%),6-9-1 (40.0%)
12-4 (75.0%),6-10-0  (37.5%),3-13-0 (18.8%),7-2 (77.8%),1-8-0 (11.1%),2-5-0 (28.6%),6-9-1 (40.0%)
12-4 (75.0%),8-8-0  (50.0%),6-10-0 (37.5%),8-4 (66.7%),5-7-0 (41.7%),1-3-0 (25.0%),8-8-0 (50.0%)
6-5 (54.5%),4-7-0  (36.4%),3-7-0 (30.0%),5-5 (50.0%),3-7-0 (30.0%),0-0-0,4-7-0 (36.4%)
10-5 (66.7%),6-9-1  (40.0%),5-10-1 (33.3%),7-4 (63.6%),3-7-1 (30.0%),2-3-0 (40.0%),9-7-0 (56.3%)
10-6 (62.5%),7-9-0  (43.8%),5-11-0 (31.3%),4-4 (50.0%),2-6-0 (25.0%),3-5-0 (37.5%),3-13-0 (18.8%)
10-6 (62.5%),7-9-0  (43.8%),6-10-0 (37.5%),8-5 (61.5%),5-8-0 (38.5%),1-2-0 (33.3%),10-6-0 (62.5%)
6-9 (40.0%),4-11-0  (26.7%),6-9-0 (40.0%),2-7 (22.2%),2-7-0 (22.2%),4-2-0 (66.7%),6-9-0 (40.0%)
9-6 (60.0%),7-8-0  (46.7%),6-8-0 (42.9%),6-5 (54.5%),5-6-0 (45.5%),1-2-0 (33.3%),8-7-0 (53.3%)
7-7 (50.0%),4-10-0  (28.6%),6-7-0 (46.2%),5-5 (50.0%),3-7-0 (30.0%),3-0-0 (100.%),7-7-0 (50.0%)
11-3 (78.6%),8-5-1  (61.5%),4-9-1 (30.8%),5-3 (62.5%),3-4-1 (42.9%),1-5-0 (16.7%),6-8-0 (42.9%)
13-2 (86.7%),7-8-0  (46.7%),6-8-0 (42.9%),10-2 (83.3%),5-7-0 (41.7%),1-1-0 (50.0%),6-9-0 (40.0%)
8-6 (57.1%),7-7-0  (50.0%),12-1-0 (92.3%),6-0 (100.%),6-0-0 (100.%),6-1-0 (85.7%),10-4-0 (71.4%)
5-8 (38.5%),3-9-1  (25.0%),6-6-1 (50.0%),4-4 (50.0%),2-5-1 (28.6%),4-1-0 (80.0%),7-6-0 (53.8%)
12-2 (85.7%),9-4-1  (69.2%),4-8-1 (33.3%),7-2 (77.8%),4-4-1 (50.0%),0-4-0 (0.0%),7-7-0 (50.0%)
11-3 (78.6%),7-7-0  (50.0%),6-8-0 (42.9%),8-1 (88.9%),4-5-0 (44.4%),2-3-0 (40.0%),5-9-0 (35.7%)
9-7 (56.3%),7-9-0  (43.8%),8-8-0 (50.0%),3-2 (60.0%),2-3-0 (40.0%),6-5-0 (54.5%),8-8-0 (50.0%)
12-4 (75.0%),8-7-1  (53.3%),5-10-1 (33.3%),8-3 (72.7%),4-6-1 (40.0%),1-4-0 (20.0%),8-8-0 (50.0%)
10-6 (62.5%),9-6-1  (60.0%),7-8-1 (46.7%),5-4 (55.6%),5-4-0 (55.6%),2-4-1 (33.3%),10-6-0 (62.5%)
10-6 (62.5%),7-7-2  (50.0%),6-8-2 (42.9%),5-3 (62.5%),3-4-1 (42.9%),3-4-1 (42.9%),6-10-0 (37.5%)
11-5 (68.8%),6-8-2  (42.9%),6-8-2 (42.9%),4-2 (66.7%),1-3-2 (25.0%),5-5-0 (50.0%),12-3-1 (80.0%)
7-4 (63.6%),7-4-0  (63.6%),6-4-0 (60.0%),6-4 (60.0%),6-4-0 (60.0%),0-0-0,4-7-0 (36.4%)
10-6 (62.5%),9-7-0  (56.3%),9-7-0 (56.3%),6-4 (60.0%),6-4-0 (60.0%),3-3-0 (50.0%),9-7-0 (56.3%)
14-2 (87.5%),7-9-0  (43.8%),8-8-0 (50.0%),10-1 (90.9%),5-6-0 (45.5%),3-2-0 (60.0%),11-5-0 (68.8%)
9-6 (60.0%),8-8-0  (50.0%),7-9-0 (43.8%),6-6 (50.0%),6-7-0 (46.2%),1-2-0 (33.3%),9-7-0 (56.3%)
10-5 (66.7%),7-8-0  (46.7%),5-10-0 (33.3%),5-4 (55.6%),3-6-0 (33.3%),2-4-0 (33.3%),7-7-1 (50.0%)
9-5 (64.3%),6-8-0  (42.9%),6-8-0 (42.9%),7-3 (70.0%),4-6-0 (40.0%),2-2-0 (50.0%),7-7-0 (50.0%)
8-6 (57.1%),5-9-0  (35.7%),6-8-0 (42.9%),5-4 (55.6%),3-6-0 (33.3%),3-2-0 (60.0%),4-10-0 (28.6%)
9-5 (64.3%),5-9-0  (35.7%),6-8-0 (42.9%),4-3 (57.1%),2-5-0 (28.6%),4-3-0 (57.1%),6-7-1 (46.2%)
7-7 (50.0%),4-10-0  (28.6%),8-6-0 (57.1%),4-4 (50.0%),3-5-0 (37.5%),5-1-0 (83.3%),9-5-0 (64.3%)
9-5 (64.3%),5-9-0  (35.7%),7-7-0 (50.0%),4-4 (50.0%),3-5-0 (37.5%),4-2-0 (66.7%),9-5-0 (64.3%)
12-2 (85.7%),9-5-0  (64.3%),8-6-0 (57.1%),9-0 (100.%),6-3-0 (66.7%),2-3-0 (40.0%),5-8-1 (38.5%)
8-6 (57.1%),6-8-0  (42.9%),9-5-0 (64.3%),6-3 (66.7%),5-4-0 (55.6%),4-1-0 (80.0%),6-8-0 (42.9%)
11-5 (68.8%),5-11-0  (31.3%),8-8-0 (50.0%),4-3 (57.1%),2-5-0 (28.6%),6-3-0 (66.7%),6-10-0 (37.5%)
9-6 (60.0%),6-9-0  (40.0%),4-11-0 (26.7%),5-6 (45.5%),3-8-0 (27.3%),1-3-0 (25.0%),6-9-0 (40.0%)
12-4 (75.0%),10-6-0  (62.5%),9-7-0 (56.3%),5-2 (71.4%),5-2-0 (71.4%),4-5-0 (44.4%),5-11-0 (31.3%)
10-6 (62.5%),6-9-1  (40.0%),8-7-1 (53.3%),5-3 (62.5%),3-4-1 (42.9%),5-3-0 (62.5%),10-6-0 (62.5%)
11-5 (68.8%),9-7-0  (56.3%),9-7-0 (56.3%),6-2 (75.0%),5-3-0 (62.5%),4-4-0 (50.0%),7-8-1 (46.7%)
14-2 (87.5%),7-9-0  (43.8%),10-6-0 (62.5%),5-0 (100.%),3-2-0 (60.0%),7-4-0 (63.6%),10-6-0 (62.5%)
8-5 (61.5%),5-8-0  (38.5%),5-7-0 (41.7%),6-4 (60.0%),4-6-0 (40.0%),1-1-0 (50.0%),7-6-0 (53.8%)
7-9 (43.8%),4-12-0  (25.0%),6-9-0 (40.0%),4-5 (44.4%),2-7-0 (22.2%),4-2-0 (66.7%),7-9-0 (43.8%)
11-5 (68.8%),7-9-0  (43.8%),6-10-0 (37.5%),6-3 (66.7%),3-6-0 (33.3%),3-4-0 (42.9%),8-8-0 (50.0%)
9-7 (56.3%),7-9-0  (43.8%),8-8-0 (50.0%),6-5 (54.5%),5-6-0 (45.5%),3-2-0 (60.0%),5-11-0 (31.3%)
11-5 (68.8%),9-7-0  (56.3%),7-9-0 (43.8%),6-4 (60.0%),5-5-0 (50.0%),2-4-0 (33.3%),7-9-0 (43.8%)
12-4 (75.0%),8-7-1  (53.3%),6-8-1 (42.9%),6-3 (66.7%),4-5-0 (44.4%),2-3-1 (40.0%),10-6-0 (62.5%)
10-4 (71.4%),8-6-0  (57.1%),4-9-0 (30.8%),3-2 (60.0%),2-3-0 (40.0%),2-6-0 (25.0%),6-7-1 (46.2%)
9-4 (69.2%),6-6-1  (50.0%),9-3-1 (75.0%),7-2 (77.8%),6-3-0 (66.7%),3-0-1 (100.%),5-8-0 (38.5%)
7-8 (46.7%),5-9-1  (35.7%),5-9-1 (35.7%),4-6 (40.0%),3-7-0 (30.0%),2-2-1 (50.0%),7-8-0 (46.7%)
7-7 (50.0%),4-10-0  (28.6%),4-10-0 (28.6%),5-5 (50.0%),2-8-0 (20.0%),2-2-0 (50.0%),7-7-0 (50.0%)
7-6 (53.8%),5-9-0  (35.7%),6-8-0 (42.9%),5-3 (62.5%),3-6-0 (33.3%),3-2-0 (60.0%),4-9-1 (30.8%)
10-5 (66.7%),7-8-0  (46.7%),5-10-0 (33.3%),5-4 (55.6%),3-6-0 (33.3%),2-4-0 (33.3%),5-10-0 (33.3%)
8-6 (57.1%),7-7-0  (50.0%),10-5-0 (66.7%),4-2 (66.7%),4-2-0 (66.7%),5-3-0 (62.5%),7-8-0 (46.7%)
8-6 (57.1%),8-6-0  (57.1%),6-8-0 (42.9%),3-3 (50.0%),3-3-0 (50.0%),3-5-0 (37.5%),5-9-0 (35.7%)
12-2 (85.7%),11-3-0  (78.6%),7-7-0 (50.0%),8-2 (80.0%),7-3-0 (70.0%),0-4-0 (0.0%),10-3-1 (76.9%)
11-5 (68.8%),9-7-0  (56.3%),8-8-0 (50.0%),7-4 (63.6%),6-5-0 (54.5%),2-3-0 (40.0%),6-10-0 (37.5%)
10-5 (66.7%),8-7-0  (53.3%),8-8-0 (50.0%),7-3 (70.0%),5-5-0 (50.0%),2-3-0 (40.0%),8-7-1 (53.3%)
13-3 (81.3%),9-7-0  (56.3%),13-3-0 (81.3%),10-2 (83.3%),9-3-0 (75.0%),4-0-0 (100.%),6-9-1 (40.0%)
9-7 (56.3%),6-10-0  (37.5%),9-7-0 (56.3%),4-3 (57.1%),3-4-0 (42.9%),6-3-0 (66.7%),11-4-1 (73.3%)
8-5 (61.5%),6-7-0  (46.2%),6-6-0 (50.0%),7-5 (58.3%),6-6-0 (50.0%),0-0-0,5-8-0 (38.5%)
10-5 (66.7%),8-8-0  (50.0%),9-7-0 (56.3%),4-3 (57.1%),4-3-0 (57.1%),5-4-0 (55.6%),5-11-0 (31.3%)
11-5 (68.8%),8-8-0  (50.0%),8-8-0 (50.0%),9-3 (75.0%),6-6-0 (50.0%),2-2-0 (50.0%),6-10-0 (37.5%)
7-9 (43.8%),5-10-1  (33.3%),6-9-1 (40.0%),3-4 (42.9%),1-5-1 (16.7%),5-4-0 (55.6%),6-9-1 (40.0%)
10-6 (62.5%),7-8-1  (46.7%),7-7-1 (50.0%),7-5 (58.3%),6-6-0 (50.0%),1-1-1 (50.0%),8-8-0 (50.0%)
11-5 (68.8%),6-10-0  (37.5%),5-10-0 (33.3%),7-3 (70.0%),3-7-0 (30.0%),2-3-0 (40.0%),7-9-0 (43.8%)
8-6 (57.1%),7-7-0  (50.0%),7-7-0 (50.0%),4-2 (66.7%),3-3-0 (50.0%),4-4-0 (50.0%),4-10-0 (28.6%)
9-5 (64.3%),7-7-0  (50.0%),7-7-0 (50.0%),7-3 (70.0%),5-5-0 (50.0%),2-2-0 (50.0%),7-7-0 (50.0%)
9-6 (60.0%),7-8-0  (46.7%),6-8-0 (42.9%),6-3 (66.7%),4-5-0 (44.4%),2-3-0 (40.0%),7-7-1 (50.0%)
9-4 (69.2%),3-7-3  (30.0%),7-3-3 (70.0%),4-1 (80.0%),2-2-1 (50.0%),5-1-2 (83.3%),4-9-0 (30.8%)
6-8 (42.9%),5-9-0  (35.7%),7-6-0 (53.8%),5-5 (50.0%),4-6-0 (40.0%),3-0-0 (100.%),7-7-0 (50.0%)
11-3 (78.6%),8-6-0  (57.1%),5-7-0 (41.7%),4-3 (57.1%),3-4-0 (42.9%),2-3-0 (40.0%),8-6-0 (57.1%)
11-5 (68.8%),8-8-0  (50.0%),12-4-0 (75.0%),8-2 (80.0%),7-3-0 (70.0%),5-1-0 (83.3%),8-8-0 (50.0%)
12-2 (85.7%),9-6-0  (60.0%),9-6-0 (60.0%),8-1 (88.9%),6-3-0 (66.7%),3-3-0 (50.0%),7-8-0 (46.7%)
8-5 (61.5%),5-8-0  (38.5%),6-7-0 (46.2%),5-3 (62.5%),3-5-0 (37.5%),3-2-0 (60.0%),7-6-0 (53.8%)
12-4 (75.0%),6-9-1  (40.0%),7-8-1 (46.7%),8-3 (72.7%),4-6-1 (40.0%),3-2-0 (60.0%),8-8-0 (50.0%)
10-6 (62.5%),8-8-0  (50.0%),8-8-0 (50.0%),6-4 (60.0%),5-5-0 (50.0%),3-3-0 (50.0%),6-10-0 (37.5%)
11-4 (73.3%),7-8-0  (46.7%),7-8-0 (46.7%),8-3 (72.7%),5-6-0 (45.5%),2-2-0 (50.0%),7-8-0 (46.7%)
12-4 (75.0%),8-7-1  (53.3%),7-8-1 (46.7%),10-3 (76.9%),6-6-1 (50.0%),1-2-0 (33.3%),7-9-0 (43.8%)
9-4 (69.2%),6-7-0  (46.2%),6-7-0 (46.2%),8-3 (72.7%),5-6-0 (45.5%),1-1-0 (50.0%),6-7-0 (46.2%)
8-8 (50.0%),6-10-0  (37.5%),4-12-0 (25.0%),4-6 (40.0%),2-8-0 (20.0%),2-4-0 (33.3%),3-13-0 (18.8%)
10-6 (62.5%),5-9-2  (35.7%),7-7-2 (50.0%),5-4 (55.6%),3-5-1 (37.5%),4-2-1 (66.7%),13-3-0 (81.3%)
11-5 (68.8%),9-6-1  (60.0%),7-8-1 (46.7%),8-4 (66.7%),6-5-1 (54.5%),1-3-0 (25.0%),5-11-0 (31.3%)
13-3 (81.3%),10-5-1  (66.7%),7-7-1 (50.0%),5-1 (83.3%),4-2-0 (66.7%),3-5-1 (37.5%),7-9-0 (43.8%)
8-6 (57.1%),7-7-0  (50.0%),6-7-0 (46.2%),5-3 (62.5%),4-4-0 (50.0%),2-3-0 (40.0%),5-9-0 (35.7%)
11-4 (73.3%),10-5-0  (66.7%),9-5-0 (64.3%),7-1 (87.5%),6-2-0 (75.0%),3-3-0 (50.0%),3-12-0 (20.0%)
6-7 (46.2%),5-8-0  (38.5%),10-3-0 (76.9%),5-3 (62.5%),5-3-0 (62.5%),5-0-0 (100.%),5-8-0 (38.5%)
12-4 (75.0%),8-8-0  (50.0%),9-7-0 (56.3%),6-1 (85.7%),4-3-0 (57.1%),5-4-0 (55.6%),8-8-0 (50.0%)
12-2 (85.7%),10-4-0  (71.4%),7-6-0 (53.8%),9-2 (81.8%),7-4-0 (63.6%),0-2-0 (0.0%),3-11-0 (21.4%)
8-6 (57.1%),6-8-0  (42.9%),6-7-0 (46.2%),5-3 (62.5%),3-5-0 (37.5%),3-2-0 (60.0%),8-6-0 (57.1%)
11-3 (78.6%),5-9-0  (35.7%),5-9-0 (35.7%),10-2 (83.3%),4-8-0 (33.3%),1-1-0 (50.0%),5-9-0 (35.7%)
12-4 (75.0%),12-4-0  (75.0%),7-9-0 (43.8%),5-2 (71.4%),5-2-0 (71.4%),2-7-0 (22.2%),9-7-0 (56.3%)
10-3 (76.9%),8-5-0  (61.5%),3-10-0 (23.1%),4-2 (66.7%),2-4-0 (33.3%),1-6-0 (14.3%),9-4-0 (69.2%)
7-8 (46.7%),4-10-1  (28.6%),7-7-1 (50.0%),6-5 (54.5%),4-7-0 (36.4%),3-0-1 (100.%),8-7-0 (53.3%)
12-4 (75.0%),10-4-2  (71.4%),10-4-2 (71.4%),9-2 (81.8%),8-2-1 (80.0%),2-2-1 (50.0%),7-9-0 (43.8%)
11-5 (68.8%),6-9-1  (40.0%),8-7-1 (53.3%),6-3 (66.7%),4-5-0 (44.4%),4-2-1 (66.7%),11-5-0 (68.8%)
12-4 (75.0%),8-8-0  (50.0%),8-8-0 (50.0%),10-4 (71.4%),7-7-0 (50.0%),1-1-0 (50.0%),9-7-0 (56.3%)
11-5 (68.8%),10-6-0  (62.5%),8-8-0 (50.0%),5-3 (62.5%),5-3-0 (62.5%),3-5-0 (37.5%),7-9-0 (43.8%)
7-6 (53.8%),4-9-0  (30.8%),6-6-0 (50.0%),7-3 (70.0%),4-6-0 (40.0%),2-0-0 (100.%),6-5-2 (54.5%)
13-3 (81.3%),9-7-0  (56.3%),8-7-0 (53.3%),10-3 (76.9%),7-6-0 (53.8%),1-1-0 (50.0%),9-7-0 (56.3%)
8-8 (50.0%),5-10-1  (33.3%),4-11-1 (26.7%),4-6 (40.0%),2-8-0 (20.0%),2-3-1 (40.0%),5-10-1 (33.3%)
8-8 (50.0%),8-8-0  (50.0%),7-9-0 (43.8%),5-6 (45.5%),5-6-0 (45.5%),2-3-0 (40.0%),6-10-0 (37.5%)
9-7 (56.3%),5-10-1  (33.3%),8-7-1 (53.3%),6-4 (60.0%),4-6-0 (40.0%),4-1-1 (80.0%),10-6-0 (62.5%)
11-3 (78.6%),10-4-0  (71.4%),6-7-0 (46.2%),7-3 (70.0%),6-4-0 (60.0%),0-3-0 (0.0%),7-7-0 (50.0%)
12-2 (85.7%),10-3-1  (76.9%),1-11-1 (8.3%),3-1 (75.0%),1-2-1 (33.3%),0-9-0 (0.0%),10-3-1 (76.9%)
10-5 (66.7%),8-7-0  (53.3%),5-9-0 (35.7%),5-3 (62.5%),3-5-0 (37.5%),2-4-0 (33.3%),6-9-0 (40.0%)
11-5 (68.8%),8-8-0  (50.0%),11-5-0 (68.8%),7-2 (77.8%),6-3-0 (66.7%),5-2-0 (71.4%),12-4-0 (75.0%)
14-1 (93.3%),10-5-0  (66.7%),7-8-0 (46.7%),10-0 (100.%),6-4-0 (60.0%),1-4-0 (20.0%),7-8-0 (46.7%)
8-6 (57.1%),3-11-0  (21.4%),6-7-0 (46.2%),3-3 (50.0%),1-5-0 (16.7%),5-2-0 (71.4%),4-9-1 (30.8%)
10-4 (71.4%),9-5-0  (64.3%),9-5-0 (64.3%),6-2 (75.0%),6-2-0 (75.0%),3-3-0 (50.0%),8-6-0 (57.1%)
9-4 (69.2%),7-5-1  (58.3%),5-7-1 (41.7%),2-2 (50.0%),2-2-0 (50.0%),3-5-1 (37.5%),10-3-0 (76.9%)
13-3 (81.3%),7-9-0  (43.8%),8-8-0 (50.0%),8-3 (72.7%),5-6-0 (45.5%),3-2-0 (60.0%),7-9-0 (43.8%)
9-4 (69.2%),5-8-0  (38.5%),5-8-0 (38.5%),8-3 (72.7%),4-7-0 (36.4%),1-1-0 (50.0%),6-7-0 (46.2%)
